arm,workload,cache_state,entities,source_sha256,source_bytes,sidecar_bytes,first_scan_us,first_sidecar_encode_us,repetition,source_revalidation_us,sidecar_decode_us,total_validated_reuse_us,full_a1_us,process_state,arm_order,setup_pid,a1_pid,reuse_pid,a1_process_wall_us,reuse_process_wall_us,sidecar_read_us,full_sidecar_open_us
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,17,82343,50130,132474,58213,fresh_exec_per_arm,reuse_then_a1,60999,61035,61034,66409,142769,663,133137
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,18,99717,50581,150299,64973,fresh_exec_per_arm,a1_then_reuse,60999,61036,61037,73178,161057,713,151013
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,19,95874,48661,144536,59870,fresh_exec_per_arm,reuse_then_a1,60999,61039,61038,67568,153909,824,145361
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,20,90761,51047,141809,58092,fresh_exec_per_arm,a1_then_reuse,60999,61040,61041,65690,153158,730,142539
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,21,86299,50228,136528,56586,fresh_exec_per_arm,reuse_then_a1,60999,61043,61042,63793,145480,670,137198
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,22,87233,49105,136339,57243,fresh_exec_per_arm,a1_then_reuse,60999,61044,61045,64068,144483,677,137016
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,23,83441,48269,131711,60589,fresh_exec_per_arm,reuse_then_a1,60999,61047,61046,67183,140482,667,132378
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,24,87935,51368,139304,57988,fresh_exec_per_arm,a1_then_reuse,60999,61048,61049,65745,148049,655,139960
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,25,83780,48608,132389,56250,fresh_exec_per_arm,reuse_then_a1,60999,61052,61050,63325,141498,673,133062
E1-dirty-sidecar,mixed_smoke,os_cache_warm,4000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,4706250,75373,17284,26,121363,61792,183156,107867,fresh_exec_per_arm,a1_then_reuse,60999,61053,61054,116571,197017,789,183945
