arm,workload,cache_state,entities,fields,source_sha256,source_bytes,physical_read_bytes,nesting_scan_bytes,json_parser_deserializer_bytes,canonical_render_bytes,entity_records,formula_ast_nodes,reference_edges,formula_dependency_edges,repetition,order,source_known_us,first_source_preview_us,semantic_current_us
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,2,A0-first,110,272,56973
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,3,A1-first,76,204,56099
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,3,A1-first,,,109561
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,4,A0-first,,,110979
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,4,A0-first,98,230,55513
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,5,A1-first,69,189,55283
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,5,A1-first,,,109097
A0,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,4803858,14411574,2405929,4000,12000,4000,4000,6,A0-first,,,110344
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,6,A0-first,128,280,55642
A1,mixed_smoke_host,os_cache_warm,4000,20000,dff8bf7553d8f0c56301d871dd4e1c0660649cfd43ad99a16a60749fe3110fb5,2405929,2405929,2401929,7205787,2405929,4000,12000,4000,4000,7,A1-first,169,355,57659
